date,close,turnover_rate,ma5
2024-10-23,61.23,3.38,61.31
2024-10-24,61.42,2.91,62.07
2024-10-25,63.07,4.46,62.28
2024-10-28,62.05,5.04,61.93
2024-10-29,61.95,5.32,61.94
2024-10-30,62.02,3.75,62.1
2024-10-31,63.21,5.5,62.46
2024-11-01,61.85,5.56,62.22
2024-11-04,63.92,5.35,62.59
2024-11-05,65.6,6.13,63.32
2024-11-06,64.59,5.47,63.83
2024-11-07,65.42,4.04,64.28
2024-11-08,66.76,6.57,65.26
2024-11-11,71.47,8.78,66.77
2024-11-12,69.21,9.26,67.49
2024-11-13,69.57,5.4,68.49
2024-11-14,65.99,5.73,68.6
2024-11-15,64.32,4.18,68.11
2024-11-18,61.96,3.98,66.21
2024-11-19,63.87,3.53,65.14
2024-11-20,63.81,2.75,63.99
2024-11-21,63.9,2.73,63.57
2024-11-22,60.83,3.43,62.87
2024-11-25,62.52,3.88,62.99
2024-11-26,61.81,2.09,62.57
2024-11-27,63.84,3.39,62.58
2024-11-28,62.98,2.64,62.4
2024-11-29,63.62,3.52,62.95
2024-12-02,63.61,3.38,63.17
2024-12-03,62.78,2.94,63.37
2024-12-04,62.12,2.5,63.02
2024-12-05,62.33,2.49,62.89
2024-12-06,62.72,2.21,62.71
2024-12-09,61.75,1.58,62.34
2024-12-10,61.94,3.16,62.17
2024-12-11,61.59,1.93,62.07
2024-12-12,61.85,1.62,61.97
2024-12-13,61.1,2.8,61.65
2024-12-16,59.04,2.65,61.1
2024-12-17,58.94,1.71,60.5
2024-12-18,59.63,1.72,60.11
2024-12-19,60.51,2.42,59.84
2024-12-20,61.13,3.25,59.85
2024-12-23,59.69,2.24,59.98
2024-12-24,60.43,2.16,60.28
2024-12-25,59.27,1.84,60.21
2024-12-26,60.27,2.22,60.16
2024-12-27,60.14,2.77,59.96
2024-12-30,60.0,2.33,60.02
2024-12-31,57.37,3.05,59.41
2025-01-02,55.05,2.41,58.57
2025-01-03,53.5,2.36,57.21
2025-01-06,54.1,1.97,56.0
2025-01-07,55.84,2.26,55.17
2025-01-08,55.78,1.95,54.85
2025-01-09,55.91,1.62,55.03
2025-01-10,55.13,1.71,55.35
2025-01-13,55.5,1.59,55.63
2025-01-14,57.39,2.61,55.94
2025-01-15,56.57,1.4,56.1
2025-01-16,56.8,2.03,56.28
2025-01-17,57.87,2.48,56.83
2025-01-20,58.91,3.33,57.51
2025-01-21,59.42,2.14,57.91
2025-01-22,60.47,3.53,58.69
2025-01-23,60.52,3.03,59.44
2025-01-24,60.32,3.01,59.93
2025-01-27,59.22,1.93,59.99
2025-02-05,58.37,2.78,59.78
2025-02-06,60.41,4.08,59.77
2025-02-07,61.56,4.16,59.98
2025-02-10,61.33,2.2,60.18
2025-02-11,60.55,2.03,60.44
2025-02-12,61.07,2.81,60.98
2025-02-13,59.1,2.59,60.72
2025-02-14,58.71,2.44,60.15
2025-02-17,58.64,2.9,59.61
2025-02-18,58.01,3.02,59.11
2025-02-19,60.02,3.81,58.9
2025-02-20,62.19,6.24,59.51
2025-02-21,63.16,4.82,60.4
2025-02-24,63.5,4.44,61.38
2025-02-25,63.29,3.17,62.43
2025-02-26,63.4,2.68,63.11
2025-02-27,62.82,2.84,63.23
2025-02-28,61.96,4.64,62.99
2025-03-03,61.39,3.21,62.57
2025-03-04,62.15,3.13,62.34
2025-03-05,61.86,2.14,62.04
2025-03-06,63.69,3.95,62.21
2025-03-07,63.54,3.21,62.53
2025-03-10,62.94,2.37,62.84
2025-03-11,62.11,2.31,62.83
2025-03-12,61.22,2.62,62.7
2025-03-13,60.04,2.15,61.97
2025-03-14,61.22,1.98,61.51
2025-03-17,61.06,1.28,61.13
2025-03-18,61.7,1.66,61.05
2025-03-19,60.56,1.48,60.92
2025-03-20,60.16,1.07,60.94
2025-03-21,59.08,1.82,60.51
2025-03-24,59.11,1.97,60.12
2025-03-25,58.71,1.56,59.52
2025-03-26,59.43,1.77,59.3
2025-03-27,61.57,3.9,59.58
2025-03-28,60.92,2.46,59.95
2025-03-31,61.39,3.3,60.4
2025-04-01,60.7,2.08,60.8
2025-04-02,61.02,3.11,61.12
2025-04-03,59.34,2.56,60.67
2025-04-07,53.35,2.57,59.16
2025-04-08,50.97,4.55,57.08
2025-04-09,52.33,4.17,55.4
2025-04-10,52.82,2.78,53.76
2025-04-11,54.98,3.69,52.89
2025-04-14,54.99,2.01,53.22
2025-04-15,54.14,1.53,53.85
2025-04-16,54.07,1.47,54.2
2025-04-17,54.98,2.01,54.63
2025-04-18,53.75,2.42,54.39
2025-04-21,54.13,1.83,54.21
2025-04-22,53.87,1.87,54.16
2025-04-23,53.63,2.88,54.07
2025-04-24,52.51,1.85,53.58
2025-04-25,52.22,2.1,53.27
2025-04-28,52.21,1.58,52.89
2025-04-29,51.77,1.77,52.47
2025-04-30,54.58,4.3,52.66
2025-05-06,56.82,3.27,53.52
2025-05-07,56.08,2.3,54.29
2025-05-08,56.01,1.32,55.05
2025-05-09,54.92,1.52,55.68
2025-05-12,55.4,1.27,55.85
2025-05-13,55.57,1.6,55.6
2025-05-14,55.99,2.29,55.58
2025-05-15,54.28,1.72,55.23
2025-05-16,54.22,1.01,55.09
2025-05-19,53.67,1.26,54.75
2025-05-20,53.44,1.3,54.32
2025-05-21,53.49,1.57,53.82
2025-05-22,53.16,1.79,53.6
2025-05-23,52.7,1.52,53.29
2025-05-26,52.69,1.24,53.1
2025-05-27,52.23,1.1,52.85
2025-05-28,52.83,1.43,52.72
2025-05-29,53.41,1.39,52.77
2025-05-30,52.09,1.65,52.65
2025-06-03,52.14,1.19,52.54
2025-06-04,52.4,0.84,52.57
2025-06-05,52.97,1.37,52.6
2025-06-06,53.05,1.23,52.53
2025-06-09,53.28,1.31,52.77
2025-06-10,52.08,1.65,52.76
2025-06-11,52.41,1.18,52.76
2025-06-12,51.73,2.15,52.51
2025-06-13,51.63,1.43,52.23
2025-06-16,51.79,1.07,51.93
2025-06-17,51.18,1.54,51.75
2025-06-18,51.92,1.49,51.65
2025-06-19,51.64,1.59,51.63
2025-06-20,51.29,1.26,51.56
2025-06-23,51.88,1.42,51.58
2025-06-24,52.99,2.26,51.94
2025-06-25,53.46,2.18,52.25
2025-06-26,53.17,2.01,52.56
2025-06-27,53.47,1.61,52.99
2025-06-30,54.37,2.24,53.49
2025-07-01,54.38,2.07,53.77
2025-07-02,53.69,1.61,53.82
2025-07-03,53.73,1.57,53.93
2025-07-04,52.76,2.26,53.79
2025-07-07,52.49,1.04,53.41
2025-07-08,54.55,4.18,53.44
2025-07-09,53.45,2.73,53.4
2025-07-10,53.27,1.52,53.3
2025-07-11,53.88,2.11,53.53
2025-07-14,53.73,1.53,53.78
2025-07-15,53.59,1.71,53.58
2025-07-16,53.73,1.92,53.64
2025-07-17,54.57,2.52,53.9
2025-07-18,54.52,1.85,54.03
2025-07-21,54.61,1.63,54.2
2025-07-22,54.59,1.69,54.4
2025-07-23,54.38,2.54,54.53
2025-07-24,55.45,2.85,54.71
2025-07-25,55.48,2.55,54.9
2025-07-28,55.51,2.83,55.08
2025-07-29,55.93,2.19,55.35
2025-07-30,56.4,4.32,55.75
2025-07-31,54.95,2.95,55.65
2025-08-01,54.9,2.52,55.54
2025-08-04,54.91,1.7,55.42
2025-08-05,55.03,1.67,55.24
2025-08-06,55.66,2.1,55.09
2025-08-07,55.67,2.31,55.23
2025-08-08,54.66,2.06,55.19
2025-08-11,54.96,1.66,55.2
2025-08-12,55.86,3.1,55.36
2025-08-13,57.07,5.04,55.64
2025-08-14,56.21,4.56,55.75
2025-08-15,59.03,7.12,56.63
2025-08-18,59.81,9.12,57.6
2025-08-19,59.88,4.6,58.4
2025-08-20,59.69,4.96,58.92
2025-08-21,58.74,4.33,59.43
2025-08-22,60.84,6.44,59.79
2025-08-25,60.74,6.47,59.98
2025-08-26,59.98,4.75,60.0
2025-08-27,58.97,6.77,59.85
2025-08-28,60.36,5.73,60.18
2025-08-29,59.71,4.68,59.95
2025-09-01,61.47,7.28,60.1
2025-09-02,58.67,6.02,59.84
2025-09-03,58.47,4.24,59.74
2025-09-04,55.99,5.04,58.86
2025-09-05,57.6,3.31,58.44
2025-09-08,58.67,3.33,57.88
2025-09-09,56.87,2.99,57.52
2025-09-10,56.32,2.28,57.09
2025-09-11,58.32,4.47,57.56
2025-09-12,61.82,10.41,58.4
2025-09-15,61.08,6.1,58.88
2025-09-16,61.33,3.9,59.77
2025-09-17,61.69,4.89,60.85
2025-09-18,64.01,11.13,61.99
2025-09-19,65.5,9.02,62.72
2025-09-22,66.33,6.55,63.77
2025-09-23,66.76,6.48,64.86
2025-09-24,70.86,11.58,66.69
2025-09-25,72.3,8.14,68.35
2025-09-26,72.06,8.43,69.66
2025-09-29,72.9,5.68,70.98
2025-09-30,73.75,7.89,72.37
2025-10-09,81.13,5.32,74.43
2025-10-10,84.94,15.32,76.96
2025-10-13,84.0,10.02,79.34
2025-10-14,76.65,12.46,80.09
2025-10-15,75.95,7.77,80.53
2025-10-16,76.87,7.45,79.68
2025-10-17,72.75,5.98,77.24
2025-10-20,75.84,6.99,75.61
2025-10-21,77.58,6.78,75.8
2025-10-22,75.78,4.17,75.76
2025-10-23,75.35,3.38,75.46
2025-10-24,80.02,7.74,76.91
2025-10-27,83.06,9.8,78.36
2025-10-28,81.14,7.73,79.07
2025-10-29,81.88,5.62,80.29
2025-10-30,82.82,9.26,81.78
2025-10-31,77.39,7.91,81.26
2025-11-03,77.41,7.42,80.13
2025-11-04,76.18,3.72,79.14
2025-11-05,74.42,3.87,77.64
2025-11-06,77.0,4.45,76.48
2025-11-07,75.63,4.14,76.13
2025-11-10,81.36,11.43,76.92
2025-11-11,79.65,7.99,77.61
2025-11-12,78.53,5.46,78.43
2025-11-13,79.69,6.21,78.97
2025-11-14,73.09,8.75,78.46
2025-11-17,74.38,5.15,77.07
2025-11-18,73.4,3.92,75.82
2025-11-19,71.88,4.34,74.49
2025-11-20,70.6,3.28,72.67
2025-11-21,66.89,4.68,71.43
2025-11-24,68.9,3.8,70.33
2025-11-25,68.97,3.79,69.45
2025-11-26,68.12,2.69,68.7
2025-11-27,67.45,3.55,68.07
2025-11-28,69.42,3.99,68.57
2025-12-01,71.4,3.97,69.07
2025-12-02,70.38,2.51,69.35
2025-12-03,69.88,2.21,69.71
2025-12-04,70.4,2.66,70.3
2025-12-05,70.03,2.15,70.42
2025-12-08,72.37,4.7,70.61
2025-12-09,71.28,2.52,70.79
2025-12-10,71.26,2.61,71.07
2025-12-11,70.02,2.33,70.99
2025-12-12,71.94,3.47,71.37
2025-12-15,72.65,4.44,71.43
2025-12-16,71.1,3.13,71.39
2025-12-17,72.21,3.09,71.58
2025-12-18,71.35,3.53,71.85
2025-12-19,69.95,4.24,71.45
2025-12-22,73.64,6.14,71.65
2025-12-23,73.74,3.38,72.18
2025-12-24,74.99,3.7,72.73
2025-12-25,74.6,3.79,73.38
2025-12-26,74.02,3.06,74.2
2025-12-29,72.91,3.52,74.05
2025-12-30,72.55,3.18,73.81
2025-12-31,74.1,6.66,73.64
2026-01-05,77.77,6.84,74.27
2026-01-06,82.03,8.69,75.87
2026-01-07,88.63,13.73,79.02
2026-01-08,86.22,12.29,81.75
2026-01-09,86.8,7.57,84.29
2026-01-12,89.4,8.58,86.62
2026-01-13,88.45,6.74,87.9
2026-01-14,86.92,7.24,87.56
2026-01-15,92.68,7.9,88.85
2026-01-16,96.51,8.44,90.79
2026-01-19,98.59,8.39,92.63
2026-01-20,97.66,5.78,94.47
2026-01-21,97.1,5.54,96.51
2026-01-22,94.99,5.56,96.97
2026-01-23,94.71,4.92,96.61
2026-01-26,92.01,4.58,95.29
2026-01-27,93.0,4.14,94.36
2026-01-28,97.99,6.77,94.54
2026-01-29,94.69,4.57,94.48
2026-01-30,96.29,5.33,94.8
2026-02-02,88.05,5.81,94.0
2026-02-03,91.1,3.54,93.62
2026-02-04,89.29,2.87,91.88
2026-02-05,88.64,3.26,90.67
2026-02-06,87.4,2.19,88.9
2026-02-09,90.39,3.0,89.36
2026-02-10,90.02,2.36,89.15
2026-02-11,89.65,1.79,89.22
2026-02-12,91.35,2.54,89.76
2026-02-13,90.15,2.97,90.31
2026-02-24,92.61,3.39,90.76
